Date,cy_date,Year,Month Name,date_mm
01-Jan-18,Jan-18,2018,January,18-Jan
02-Jan-18,Jan-18,2018,January,18-Jan
03-Jan-18,Jan-18,2018,January,18-Jan
04-Jan-18,Jan-18,2018,January,18-Jan
05-Jan-18,Jan-18,2018,January,18-Jan
06-Jan-18,Jan-18,2018,January,18-Jan
07-Jan-18,Jan-18,2018,January,18-Jan
08-Jan-18,Jan-18,2018,January,18-Jan
09-Jan-18,Jan-18,2018,January,18-Jan
10-Jan-18,Jan-18,2018,January,18-Jan
11-Jan-18,Jan-18,2018,January,18-Jan
12-Jan-18,Jan-18,2018,January,18-Jan
13-Jan-18,Jan-18,2018,January,18-Jan
14-Jan-18,Jan-18,2018,January,18-Jan
15-Jan-18,Jan-18,2018,January,18-Jan
16-Jan-18,Jan-18,2018,January,18-Jan
17-Jan-18,Jan-18,2018,January,18-Jan
18-Jan-18,Jan-18,2018,January,18-Jan
19-Jan-18,Jan-18,2018,January,18-Jan
20-Jan-18,Jan-18,2018,January,18-Jan
21-Jan-18,Jan-18,2018,January,18-Jan
22-Jan-18,Jan-18,2018,January,18-Jan
23-Jan-18,Jan-18,2018,January,18-Jan
24-Jan-18,Jan-18,2018,January,18-Jan
25-Jan-18,Jan-18,2018,January,18-Jan
26-Jan-18,Jan-18,2018,January,18-Jan
27-Jan-18,Jan-18,2018,January,18-Jan
28-Jan-18,Jan-18,2018,January,18-Jan
29-Jan-18,Jan-18,2018,January,18-Jan
30-Jan-18,Jan-18,2018,January,18-Jan
31-Jan-18,Jan-18,2018,January,18-Jan
01-Feb-18,Feb-18,2018,February,18-Feb
02-Feb-18,Feb-18,2018,February,18-Feb
03-Feb-18,Feb-18,2018,February,18-Feb
04-Feb-18,Feb-18,2018,February,18-Feb
05-Feb-18,Feb-18,2018,February,18-Feb
06-Feb-18,Feb-18,2018,February,18-Feb
07-Feb-18,Feb-18,2018,February,18-Feb
08-Feb-18,Feb-18,2018,February,18-Feb
09-Feb-18,Feb-18,2018,February,18-Feb
10-Feb-18,Feb-18,2018,February,18-Feb
11-Feb-18,Feb-18,2018,February,18-Feb
